Thread[sbt-bg-threads-13,5,main], java.lang.Thread.sleep, Mainanonfunmain2.apply, Mainanonfunmain2.apply, scala.collection.TraversableLikeWithFilteranonfunforeach1.apply, scala.collection.Iteratorclass.foreach, scala.collection.AbstractIterator.foreach, scala.collection.IterableLikeclass.foreach, scala.collection.AbstractIterable.foreach, scala.collection.TraversableLikeWithFilter.foreach, Main.main, Main.main, sun.reflect.NativeMethodAccessorImpl.invoke0, sun.reflect.NativeMethodAccessorImpl.invoke, sun.reflect.DelegatingMethodAccessorImpl.invoke, java.lang.reflect.Method.invoke, sbt.Run.invokeMain, sbt.Run.execute1, sbt.Run.anonfunrunWithLoader5, sbt.RunLambda4276/922653059.applymcVsp, sbt.Run.executeSuccess, sbt.Run.runWithLoader, sbt.Defaults.anonfunbgRunTask6, sbt.DefaultsLambda4269/786076395.applymcVsp, sbt.Defaults.anonfuntermWrapper2, sbt.DefaultsLambda4270/149961590.applymcVsp, scala.runtime.java8.JFunction0mcVsp.apply, scala.util.Try.apply, sbt.internal.BackgroundThreadPoolBackgroundRunnable.run, java.util.concurrent.ThreadPoolExecutor.runWorker, java.util.concurrent.ThreadPoolExecutorWorker.run, java.lang.Thread.run, 
Thread[sbt-bg-threads-13,5,main], java.lang.Thread.sleep, Mainanonfunmain2.apply, Mainanonfunmain2.apply, scala.collection.TraversableLikeWithFilteranonfunforeach1.apply, scala.collection.Iteratorclass.foreach, scala.collection.AbstractIterator.foreach, scala.collection.IterableLikeclass.foreach, scala.collection.AbstractIterable.foreach, scala.collection.TraversableLikeWithFilter.foreach, Main.main, Main.main, sun.reflect.NativeMethodAccessorImpl.invoke0, sun.reflect.NativeMethodAccessorImpl.invoke, sun.reflect.DelegatingMethodAccessorImpl.invoke, java.lang.reflect.Method.invoke, sbt.Run.invokeMain, sbt.Run.execute1, sbt.Run.anonfunrunWithLoader5, sbt.RunLambda4276/922653059.applymcVsp, sbt.Run.executeSuccess, sbt.Run.runWithLoader, sbt.Defaults.anonfunbgRunTask6, sbt.DefaultsLambda4269/786076395.applymcVsp, sbt.Defaults.anonfuntermWrapper2, sbt.DefaultsLambda4270/149961590.applymcVsp, scala.runtime.java8.JFunction0mcVsp.apply, scala.util.Try.apply, sbt.internal.BackgroundThreadPoolBackgroundRunnable.run, java.util.concurrent.ThreadPoolExecutor.runWorker, java.util.concurrent.ThreadPoolExecutorWorker.run, java.lang.Thread.run, 
Thread[sbt-bg-threads-13,5,main], java.lang.Thread.sleep, Mainanonfunmain2.apply, Mainanonfunmain2.apply, scala.collection.TraversableLikeWithFilteranonfunforeach1.apply, scala.collection.Iteratorclass.foreach, scala.collection.AbstractIterator.foreach, scala.collection.IterableLikeclass.foreach, scala.collection.AbstractIterable.foreach, scala.collection.TraversableLikeWithFilter.foreach, Main.main, Main.main, sun.reflect.NativeMethodAccessorImpl.invoke0, sun.reflect.NativeMethodAccessorImpl.invoke, sun.reflect.DelegatingMethodAccessorImpl.invoke, java.lang.reflect.Method.invoke, sbt.Run.invokeMain, sbt.Run.execute1, sbt.Run.anonfunrunWithLoader5, sbt.RunLambda4276/922653059.applymcVsp, sbt.Run.executeSuccess, sbt.Run.runWithLoader, sbt.Defaults.anonfunbgRunTask6, sbt.DefaultsLambda4269/786076395.applymcVsp, sbt.Defaults.anonfuntermWrapper2, sbt.DefaultsLambda4270/149961590.applymcVsp, scala.runtime.java8.JFunction0mcVsp.apply, scala.util.Try.apply, sbt.internal.BackgroundThreadPoolBackgroundRunnable.run, java.util.concurrent.ThreadPoolExecutor.runWorker, java.util.concurrent.ThreadPoolExecutorWorker.run, java.lang.Thread.run, 
Thread[sbt-bg-threads-13,5,main], java.lang.Thread.sleep, Mainanonfunmain2.apply, Mainanonfunmain2.apply, scala.collection.TraversableLikeWithFilteranonfunforeach1.apply, scala.collection.Iteratorclass.foreach, scala.collection.AbstractIterator.foreach, scala.collection.IterableLikeclass.foreach, scala.collection.AbstractIterable.foreach, scala.collection.TraversableLikeWithFilter.foreach, Main.main, Main.main, sun.reflect.NativeMethodAccessorImpl.invoke0, sun.reflect.NativeMethodAccessorImpl.invoke, sun.reflect.DelegatingMethodAccessorImpl.invoke, java.lang.reflect.Method.invoke, sbt.Run.invokeMain, sbt.Run.execute1, sbt.Run.anonfunrunWithLoader5, sbt.RunLambda4276/922653059.applymcVsp, sbt.Run.executeSuccess, sbt.Run.runWithLoader, sbt.Defaults.anonfunbgRunTask6, sbt.DefaultsLambda4269/786076395.applymcVsp, sbt.Defaults.anonfuntermWrapper2, sbt.DefaultsLambda4270/149961590.applymcVsp, scala.runtime.java8.JFunction0mcVsp.apply, scala.util.Try.apply, sbt.internal.BackgroundThreadPoolBackgroundRunnable.run, java.util.concurrent.ThreadPoolExecutor.runWorker, java.util.concurrent.ThreadPoolExecutorWorker.run, java.lang.Thread.run, 
Thread[sbt-bg-threads-13,5,main], java.lang.Thread.sleep, Mainanonfunmain2.apply, Mainanonfunmain2.apply, scala.collection.TraversableLikeWithFilteranonfunforeach1.apply, scala.collection.Iteratorclass.foreach, scala.collection.AbstractIterator.foreach, scala.collection.IterableLikeclass.foreach, scala.collection.AbstractIterable.foreach, scala.collection.TraversableLikeWithFilter.foreach, Main.main, Main.main, sun.reflect.NativeMethodAccessorImpl.invoke0, sun.reflect.NativeMethodAccessorImpl.invoke, sun.reflect.DelegatingMethodAccessorImpl.invoke, java.lang.reflect.Method.invoke, sbt.Run.invokeMain, sbt.Run.execute1, sbt.Run.anonfunrunWithLoader5, sbt.RunLambda4276/922653059.applymcVsp, sbt.Run.executeSuccess, sbt.Run.runWithLoader, sbt.Defaults.anonfunbgRunTask6, sbt.DefaultsLambda4269/786076395.applymcVsp, sbt.Defaults.anonfuntermWrapper2, sbt.DefaultsLambda4270/149961590.applymcVsp, scala.runtime.java8.JFunction0mcVsp.apply, scala.util.Try.apply, sbt.internal.BackgroundThreadPoolBackgroundRunnable.run, java.util.concurrent.ThreadPoolExecutor.runWorker, java.util.concurrent.ThreadPoolExecutorWorker.run, java.lang.Thread.run, 
Thread[sbt-bg-threads-13,5,main], java.lang.Thread.sleep, Mainanonfunmain2.apply, Mainanonfunmain2.apply, scala.collection.TraversableLikeWithFilteranonfunforeach1.apply, scala.collection.Iteratorclass.foreach, scala.collection.AbstractIterator.foreach, scala.collection.IterableLikeclass.foreach, scala.collection.AbstractIterable.foreach, scala.collection.TraversableLikeWithFilter.foreach, Main.main, Main.main, sun.reflect.NativeMethodAccessorImpl.invoke0, sun.reflect.NativeMethodAccessorImpl.invoke, sun.reflect.DelegatingMethodAccessorImpl.invoke, java.lang.reflect.Method.invoke, sbt.Run.invokeMain, sbt.Run.execute1, sbt.Run.anonfunrunWithLoader5, sbt.RunLambda4276/922653059.applymcVsp, sbt.Run.executeSuccess, sbt.Run.runWithLoader, sbt.Defaults.anonfunbgRunTask6, sbt.DefaultsLambda4269/786076395.applymcVsp, sbt.Defaults.anonfuntermWrapper2, sbt.DefaultsLambda4270/149961590.applymcVsp, scala.runtime.java8.JFunction0mcVsp.apply, scala.util.Try.apply, sbt.internal.BackgroundThreadPoolBackgroundRunnable.run, java.util.concurrent.ThreadPoolExecutor.runWorker, java.util.concurrent.ThreadPoolExecutorWorker.run, java.lang.Thread.run, 
Thread[sbt-bg-threads-13,5,main], java.lang.Thread.sleep, Mainanonfunmain2.apply, Mainanonfunmain2.apply, scala.collection.TraversableLikeWithFilteranonfunforeach1.apply, scala.collection.Iteratorclass.foreach, scala.collection.AbstractIterator.foreach, scala.collection.IterableLikeclass.foreach, scala.collection.AbstractIterable.foreach, scala.collection.TraversableLikeWithFilter.foreach, Main.main, Main.main, sun.reflect.NativeMethodAccessorImpl.invoke0, sun.reflect.NativeMethodAccessorImpl.invoke, sun.reflect.DelegatingMethodAccessorImpl.invoke, java.lang.reflect.Method.invoke, sbt.Run.invokeMain, sbt.Run.execute1, sbt.Run.anonfunrunWithLoader5, sbt.RunLambda4276/922653059.applymcVsp, sbt.Run.executeSuccess, sbt.Run.runWithLoader, sbt.Defaults.anonfunbgRunTask6, sbt.DefaultsLambda4269/786076395.applymcVsp, sbt.Defaults.anonfuntermWrapper2, sbt.DefaultsLambda4270/149961590.applymcVsp, scala.runtime.java8.JFunction0mcVsp.apply, scala.util.Try.apply, sbt.internal.BackgroundThreadPoolBackgroundRunnable.run, java.util.concurrent.ThreadPoolExecutor.runWorker, java.util.concurrent.ThreadPoolExecutorWorker.run, java.lang.Thread.run, 
Thread[sbt-bg-threads-13,5,main], java.lang.Thread.sleep, Mainanonfunmain2.apply, Mainanonfunmain2.apply, scala.collection.TraversableLikeWithFilteranonfunforeach1.apply, scala.collection.Iteratorclass.foreach, scala.collection.AbstractIterator.foreach, scala.collection.IterableLikeclass.foreach, scala.collection.AbstractIterable.foreach, scala.collection.TraversableLikeWithFilter.foreach, Main.main, Main.main, sun.reflect.NativeMethodAccessorImpl.invoke0, sun.reflect.NativeMethodAccessorImpl.invoke, sun.reflect.DelegatingMethodAccessorImpl.invoke, java.lang.reflect.Method.invoke, sbt.Run.invokeMain, sbt.Run.execute1, sbt.Run.anonfunrunWithLoader5, sbt.RunLambda4276/922653059.applymcVsp, sbt.Run.executeSuccess, sbt.Run.runWithLoader, sbt.Defaults.anonfunbgRunTask6, sbt.DefaultsLambda4269/786076395.applymcVsp, sbt.Defaults.anonfuntermWrapper2, sbt.DefaultsLambda4270/149961590.applymcVsp, scala.runtime.java8.JFunction0mcVsp.apply, scala.util.Try.apply, sbt.internal.BackgroundThreadPoolBackgroundRunnable.run, java.util.concurrent.ThreadPoolExecutor.runWorker, java.util.concurrent.ThreadPoolExecutorWorker.run, java.lang.Thread.run, 
Thread[sbt-bg-threads-13,5,main], java.lang.Thread.sleep, Mainanonfunmain2.apply, Mainanonfunmain2.apply, scala.collection.TraversableLikeWithFilteranonfunforeach1.apply, scala.collection.Iteratorclass.foreach, scala.collection.AbstractIterator.foreach, scala.collection.IterableLikeclass.foreach, scala.collection.AbstractIterable.foreach, scala.collection.TraversableLikeWithFilter.foreach, Main.main, Main.main, sun.reflect.NativeMethodAccessorImpl.invoke0, sun.reflect.NativeMethodAccessorImpl.invoke, sun.reflect.DelegatingMethodAccessorImpl.invoke, java.lang.reflect.Method.invoke, sbt.Run.invokeMain, sbt.Run.execute1, sbt.Run.anonfunrunWithLoader5, sbt.RunLambda4276/922653059.applymcVsp, sbt.Run.executeSuccess, sbt.Run.runWithLoader, sbt.Defaults.anonfunbgRunTask6, sbt.DefaultsLambda4269/786076395.applymcVsp, sbt.Defaults.anonfuntermWrapper2, sbt.DefaultsLambda4270/149961590.applymcVsp, scala.runtime.java8.JFunction0mcVsp.apply, scala.util.Try.apply, sbt.internal.BackgroundThreadPoolBackgroundRunnable.run, java.util.concurrent.ThreadPoolExecutor.runWorker, java.util.concurrent.ThreadPoolExecutorWorker.run, java.lang.Thread.run, 
Thread[sbt-bg-threads-13,5,main], java.lang.Thread.sleep, Mainanonfunmain2.apply, Mainanonfunmain2.apply, scala.collection.TraversableLikeWithFilteranonfunforeach1.apply, scala.collection.Iteratorclass.foreach, scala.collection.AbstractIterator.foreach, scala.collection.IterableLikeclass.foreach, scala.collection.AbstractIterable.foreach, scala.collection.TraversableLikeWithFilter.foreach, Main.main, Main.main, sun.reflect.NativeMethodAccessorImpl.invoke0, sun.reflect.NativeMethodAccessorImpl.invoke, sun.reflect.DelegatingMethodAccessorImpl.invoke, java.lang.reflect.Method.invoke, sbt.Run.invokeMain, sbt.Run.execute1, sbt.Run.anonfunrunWithLoader5, sbt.RunLambda4276/922653059.applymcVsp, sbt.Run.executeSuccess, sbt.Run.runWithLoader, sbt.Defaults.anonfunbgRunTask6, sbt.DefaultsLambda4269/786076395.applymcVsp, sbt.Defaults.anonfuntermWrapper2, sbt.DefaultsLambda4270/149961590.applymcVsp, scala.runtime.java8.JFunction0mcVsp.apply, scala.util.Try.apply, sbt.internal.BackgroundThreadPoolBackgroundRunnable.run, java.util.concurrent.ThreadPoolExecutor.runWorker, java.util.concurrent.ThreadPoolExecutorWorker.run, java.lang.Thread.run, 
Thread[sbt-bg-threads-13,5,main], java.lang.Thread.sleep, Mainanonfunmain2.apply, Mainanonfunmain2.apply, scala.collection.TraversableLikeWithFilteranonfunforeach1.apply, scala.collection.Iteratorclass.foreach, scala.collection.AbstractIterator.foreach, scala.collection.IterableLikeclass.foreach, scala.collection.AbstractIterable.foreach, scala.collection.TraversableLikeWithFilter.foreach, Main.main, Main.main, sun.reflect.NativeMethodAccessorImpl.invoke0, sun.reflect.NativeMethodAccessorImpl.invoke, sun.reflect.DelegatingMethodAccessorImpl.invoke, java.lang.reflect.Method.invoke, sbt.Run.invokeMain, sbt.Run.execute1, sbt.Run.anonfunrunWithLoader5, sbt.RunLambda4276/922653059.applymcVsp, sbt.Run.executeSuccess, sbt.Run.runWithLoader, sbt.Defaults.anonfunbgRunTask6, sbt.DefaultsLambda4269/786076395.applymcVsp, sbt.Defaults.anonfuntermWrapper2, sbt.DefaultsLambda4270/149961590.applymcVsp, scala.runtime.java8.JFunction0mcVsp.apply, scala.util.Try.apply, sbt.internal.BackgroundThreadPoolBackgroundRunnable.run, java.util.concurrent.ThreadPoolExecutor.runWorker, java.util.concurrent.ThreadPoolExecutorWorker.run, java.lang.Thread.run, 
